epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.3931,0.66145,0.72449,1,0.49415,0.000544553,0.000544553,0.000544553
2,45.1713,0.51738,0.86735,1,0.27894,0.000991298,0.000991298,0.000991298
3,62.4652,0.41536,0.88776,1,0.22229,0.00132802,0.00132802,0.00132802
4,79.8783,0.36306,0.84694,1,0.80819,0.0011719,0.0011719,0.0011719
5,97.0539,0.36381,0.87755,1,0.23128,0.00100687,0.00100687,0.00100687
6,114.179,0.33142,0.89796,1,0.22248,0.000841835,0.000841835,0.000841835
7,131.209,0.28271,0.89796,1,0.37895,0.000676802,0.000676802,0.000676802
8,148.383,0.26378,0.87755,1,0.21337,0.000511769,0.000511769,0.000511769
9,165.373,0.25869,0.93878,1,0.18,0.000346736,0.000346736,0.000346736
10,184.952,0.2259,0.93878,1,0.26357,0.000181703,0.000181703,0.000181703
